Geography;Population Density;year;code;Healthspd;Government Spending Score;Population;Obesity;continent;date;total_cases;total_deaths;aged_65_older;total_cases_per_million;total_deaths_per_million;stringency_index;Rural Population;institutional_index;percentage_rural_pop;institutional_index_new;turismo
USA;36,1;2019;USA;5442,3;57,1;330123100;39,1;North America;30/11/2020;13681218;270827;15,413;41095,219;813,502;75,46;58417100;2,394731699;0,176955505;0,803699246;166009
Austria;107,4;2019;AUT;4225,4;24,5;8858800;23,2;Europe;30/11/2020;282456;3184;19,202;31234,519;352,093;82,41;3674200;3,237040132;0,414751434;0,906868579;31884
Belgium;377,5;2019;BEL;3645,9;15,2;11431400;25,6;Europe;30/11/2020;577345;16645;18,571;49632,774;1430,925;63,89;224000;2,576677253;0,01959515;0,825984671;9343
Cyprus;129,7;2019;CYP;582,9;55,2;1198600;23,7;Europe;30/11/2020;10383;48;13,416;11588,105;53,571;65,74;397900;1,671096247;0,331970632;0,715065458;4117
Denmark;145,2;2019;DNK;4942,5;14,4;5806100;22,3;Europe;30/11/2020;81002;837;19,677;13933,905;143,98;45,37;697100;3,805017624;0,120063382;0,976436752;32903
Finland;18,2;2019;FIN;3490,8;7,2;5517900;26,1;Europe;30/11/2020;24912;399;21,228;4489,975;71,913;46,76;802800;3,997395749;0,145490132;1;3290
France;118,7;2019;FRA;3361,7;3,9;64988200;24,4;Europe;30/11/2020;2276830;52818;19,718;33698,738;781,745;75;12536400;2,525228711;0,192902712;0,819683046;0
Germany;237,6;2019;DEU;3477,5;42,3;83019200;27;Europe;30/11/2020;1069912;16694;21,453;12752,157;198,974;67,59;18775000;3,264283009;0,226152504;0,910205396;39563
Greece;83,2;2019;GRC;1054,6;23,3;10724600;28,6;Europe;30/11/2020;105271;2406;20,396;10150,763;231,999;78,7;2210800;0,464924902;0,206142886;0,567328729;34005
Iceland;3,4;2019;ISL;5397,4;44;339000;24,2;Europe;30/11/2020;5392;26;14,431;15703,635;75,722;52,78;20800;3,439543678;0,061356932;0,931672029;2202
Ireland;71,2;2019;IRL;4038,2;77,4;4904200;28,9;Europe;30/11/2020;72544;2053;13,928;14558,579;412,009;81,48;1743800;2,939653906;0,355572774;0,870443514;10951
Italy;200,9;2019;ITA;2321,3;26,5;59816700;23,9;Europe;30/11/2020;1601554;55576;23,021;26530,083;920,628;82,41;17502900;0,959013814;0,29260892;0,627846731;95399
Luxembourg;253,4;2019;LUX;5516,8;46,6;615700;25,4;Europe;30/11/2020;34678;321;14,312;54627,025;505,66;60,19;54000;3,828237851;0,087705051;0,979280859;1041
Malta;1376,2;2019;MLT;2060,5;56,1;440400;32,1;Europe;30/11/2020;9873;137;19,426;19187,118;266,245;52,78;23400;1,673180845;0,053133515;0,715320788;3519
Netherlands;513,3;2019;NLD;4031;42,9;17282200;24,4;Europe;30/11/2020;531930;9453;18,779;30974,616;550,454;56,48;1412800;3,648615821;0,081748851;0,957280028;20129
Norway;14,6;2019;NOR;6131,2;25,3;5328200;26,1;Europe;30/11/2020;36150;332;16,821;6614,06;60,743;56,02;926600;3,99136786;0,173904883;0,99926168;5879
Portugal;112,2;2019;PRT;1475,2;35,6;10276600;24,5;Europe;30/11/2020;298061;4505;21,502;29313,853;443,06;75;3518800;2,192513122;0,342408968;0,778930699;17174
Spain;93,9;2019;ESP;1857,3;46,2;46937100;28,5;Europe;30/11/2020;1648187;45069;19,436;35258,949;964,142;71,3;9121800;1,750787727;0,194340937;0,724826392;126170
Sweden;25,1;2019;SWE;3695,1;26,7;10230200;23,2;Europe;30/11/2020;243129;6681;19,985;23929,645;657,568;64,81;1258000;3,803970084;0,122969248;0,976308445;7616
Switzerland;216,2;2019;CHE;1889,4;64,8;8544500;22,3;Europe;30/11/2020;327072;5053;18,436;37527,649;579,772;57,41;2232000;3,891791476;0,261220668;0,987065163;11818
Turkey;106,5;2019;TUR;395,3;65,1;82003900;34;Asia;30/11/2020;638847;13746;8,153;7512,07;161,636;66,2;19984300;-1,387045132;0,243699385;0,340491972;51747
United Kingdom;275,5;2019;GBR;3205,3;48,2;66647100;31,2;Europe;30/11/2020;1633736;58545;18,517;23952,575;858,342;67,59;10896600;3,098526348;0,163496986;0,889902852;40857
